薿	艹疑ノㄋ丶丶
孰	享九丶丶丶丶
郭	享阝ㄋ丨丨丨
熟	享九丶丶丶丶
塾	享九丶一一一
京	京丶一丶丶
亭	亮丁一丨丨丨
豪	亮豕一ノ丶丶
鄗	高阝ㄋ丨丨丨
#裛	亠口ノㄋ丶丶
勍	京力ㄋノノノ
彦	产彡ノノノノ
啻	帝巾丨ㄋ一一
帝	帝巾丨ㄋ丨丨
商	商丶一一一
旁	帝方丶一ノノ
颜	产彡一ノ丶丶
遆	帝巾丶ㄋ丶丶
鉴	监金ノ丶一一
监	监皿丨ㄋ一一
肾	坚⺝丨ㄋ一一
贤	坚贝丨ㄋ丶丶
竖	坚立丶一一一
坚	坚土一丨一一
临	丶丨一一
览	监见丨ㄋㄋㄋ
紧	坚糸ㄋㄋ丶丶
师	一丨ㄋ丨丨
归	彐ㄋ一一一
帅	巾丨ㄋ丨丨
翘	尧羽ㄋ丶一一
尧	尧一ㄋㄋㄋ
逯	录辶丶ㄋ丶丶
录	录ㄋ一丶丶
剥	录刂丨丨丨丨
袅	衣丶一丶丶
凫	几ノㄋㄋㄋ
枭	木一丨丶丶
岛	山丨ㄋ丨丨
乐	小丨ノ丶丶
卵	卵ノㄋ丶丶
迎	卩丶ㄋ丶丶
氏	氏ノㄋㄋㄋ
卿	卯ㄋ丨丨丨
卯	卯卩ㄋ丨丨丨
孵	卵爫ㄋ丨一一
鸱	氏丶ノㄋ一一
邸	氏丶ㄋ丨丨丨
印	卩ㄋ丨丨丨
氐	氏丶丶丶丶丶
昏	氏日丨ㄋ一一
遛	留田丶ㄋ丶丶
贸	留贝丨ㄋ丶丶
留	留田丨ㄋ一一
鹠	留田ノㄋ一一
鬼	鬼ノ丨丶丶
歙	合羽ノㄋ丶丶
舒	舍予ㄋ丶丨丨
剑	佥刂丨丨丨丨
敛	佥攵ノ一丶丶
鸽	合鸟ノㄋ一一
颌	合页一ノ丶丶
斜	余⺀一丨丨丨
叙	余又ㄋ丶丶丶
途	余辶丶ㄋ丶丶
翕	合羽ㄋ丶一一
龛	合龙一ノ丶丶
盒	合皿丨ㄋ一一
拿	合手ノ一丨丨
命	合卩ㄋ丨丨丨
龠	合吅丨ㄋ丨丨
舍	舍ノ丶一一
佥	佥ノ丶一一
合	合ノ丶一一
余	余ノ丶丶丶
龢	合吅丨ㄋ丶丶
郃	合阝ㄋ丨丨丨
弇	合廾一ノ丨丨
悆	余心丶ㄋ丶丶
畬	余田丨ㄋ一一
祭	祭ノㄋ丶丶
然	犬丶丶丶丶
炙	火丶ノ丶丶
久	久ノㄋ丶丶
灸	久火丶ノ丶丶
脊	人丨ㄋ一一
鹡	人丨ㄋ一一
坉	屯一ㄋㄋㄋ
坋	分ノ丶ノノ
坰	冂丨ㄋ一一
垎	各ノㄋ一一
垯	大丶ㄋ丶丶
垱	ㄋ一一一
埆	角ノㄋ丨丨
埇	甬ㄋ丶丨丨
埼	大一丨丨丨
堎	夋ㄋ丶丶丶
堨	曷丨ㄋㄋㄋ
塝	帝丶一ノノ
墈	其ㄋㄋノノ
墣	业丶ノ丶丶
墦	番ノ丶一一
追	辶丶ㄋ丶丶
阜	十一丨丨丨
背	北⺝丨ㄋ一一
冀	北田一丨丶丶
邶	北阝ㄋ丨丨丨
北	北丨一ㄋㄋ
顷	页一ノ丶丶
光	光丨丶ㄋㄋ
耀	光羽ノ丨一一
辉	光冖一ㄋ丨丨
赏	贝丨ㄋ丶丶
裳	衣丶一丶丶
党	儿ノㄋㄋㄋ
常	巾丨ㄋ丨丨
棠	木一丨丶丶
掌	手ノ一丨丨
堂	土一丨一一
䣘	土ㄋ丨丨丨
隶	隶ㄋ一丶丶
丝	一一一一
鸶	一ノ一一
乡	乡ㄋㄋノノ
发	发ㄋノ丶丶
民	民ㄋ一ㄋㄋ
愍	民攵丶ㄋ丶丶
遘	冓辶丶ㄋ丶丶
觏	冓见丨ㄋㄋㄋ
失	丿夫一一丶丶
迭	丿夫丶ㄋ丶丶
卸	止ㄋ丨丨丨
那	阝ㄋ丨丨丨
遁	十丨ㄋ丶丶
逅	同丶ㄋ丶丶
返	又丶ㄋ丶丶
质	十丨ㄋ丶丶
盾	十丨ㄋ一一
后	同丨ㄋ一一
卮	一ㄋㄋㄋㄋ
反	又ㄋ丶丶丶
段	段ノ丨丶丶
殷	彐ㄋノ丶丶
所	ノノ丨丨
虒	虍ノㄋㄋㄋ
郈	同ㄋ丨丨丨
垕	同一丨一一
存	在子ㄋ丨一一
左	工一丨一一
灰	火丶ノ丶丶
布	巾丨ㄋ丨丨
右	口丨ㄋ一一
友	又ㄋ丶丶丶
盔	火丨ㄋ一一
龙	龙一ノ丶丶
丈	丶丶丶丶丶
雄	厶ノ丨一一
郁	⺝ㄋ丨丨丨
在	在土一丨一一
翃	厶ㄋ丶一一
迕	十丶ㄋ丶丶
迤	也丶ㄋ丶丶
迄	乙丶ㄋ丶丶
舞	卌ノㄋ丨丨
每	每ノ一丶丶
复	复ノ一丶丶
午	十一丨丨丨
乞	乙ㄋㄋㄋㄋ
年	一丨丨丨
榘	大一ㄋ丶丶
毓	每㐬丶一ㄋㄋ
敏	每攵ノ一丶丶
鳘	每攵ノㄋ一一
繁	每攵ㄋㄋ丶丶
司	同一丨一一
刁	一一一一一
虱	丿丨ㄋ丶丶
迅	十丶ㄋ丶丶
飞	ノ丶丶丶
迩	尔辶丶ㄋ丶丶
詹	厃八丶一一一
危	厃㔾ㄋㄋㄋㄋ
玺	尔王丶丶丶丶
急	刍心丶ㄋ丶丶
负	贝丨ㄋ丶丶
色	巴ㄋ丨ㄋㄋ
刍	刍ノㄋ一一
象	象ノㄋ丶丶
奂	央丨ㄋ丶丶
龟	日ㄋㄋㄋㄋ
皱	刍皮ㄋノ丶丶
雏	刍隹ノ丨一一
邹	刍阝ㄋ丨丨丨
争	争ノㄋ丨丨
尔	尔ノㄋ丶丶
煞	刍攵丶丶丶丶
鹐	臼ノㄋ一一
通	甬辶丶ㄋ丶丶
勇	甬力ㄋノノノ
恿	甬心丶ㄋ丶丶
甬	甬ㄋ丶丨丨
氅	尚攵ノ一ㄋㄋ
尚	尚丨丶一一
当	彐ㄋ一一一
敞	尚攵ノ一丶丶
掰	分ノ一丨丨
拜	一一一丨丨
看	目丨ㄋ一一
搿	合ノ一丨丨
责	贝丨ㄋ丶丶
表	ノㄋ丶丶
毒	母ㄋㄋ丶丶
麦	夂ノㄋ丶丶
敖	敖一一丶丶
麸	夂一一丶丶
遨	敖辶丶ㄋ丶丶
赘	敖贝丨ㄋ丶丶
鳌	敖鱼ノㄋ一一
螯	敖虫丨ㄋ丶丶
聱	敖耳一丨一一
熬	敖灬丶丶丶丶
鏊	敖金ノ丶一一
骜	敖马ㄋㄋ一一
獒	敖犬一ノ丶丶
纛	母丨ㄋ丶丶
素	糸ㄋㄋ丶丶
麹	夂ノㄋ丶丶
恭	共丨丶丶丶
巷	共巳ㄋ一ㄋㄋ
共	共一丨丶丶
昔	昔一丨一一
散	⺝ノ一丶丶
鹊	昔鸟ノㄋ一一
黄	由ノ丶丶丶
黇	由ノ丶一一
䢼	共阝ㄋ丨丨丨
选	先辶丶ㄋ丶丶
赞	先先丨ㄋ丶丶
先	先ノ一ㄋㄋ
鹄	告鸟ノㄋ一一
郜	告阝ㄋ丨丨丨
造	告辶丶ㄋ丶丶
靠	告非丨一一一
告	告ノ一一一
酂	先先丨ㄋ丨丨
蠢	日丨ㄋ丶丶
奏	夭一一丶丶
奉	一一丨丨
秦	禾ノ一丶丶
舂	臼ノ丨一一
春	日丨ㄋ一一
泰	氺丨丶丶丶
尝	冖一一丶丶
筚	比一丨丨丨
篡	目一ノ丶丶
箧	匚一丶丶丶
笸	匚丨ㄋ一一
筐	匚一一一一
筱	亻丨ノ丶丶
簖	米ㄋノ丨丨
簸	其ㄋノ丶丶
筛	一丨丨丨
筠	土ノㄋ一一
篌	亻ノ丨丶丶
符	付ノ丨丶丶
筏	亻一ㄋ丶丶
簇	族ノ一丶丶
筑	工ノㄋ丶丶
筇	工ㄋ丨丨丨
籍	耒一丨一一
笳	加ㄋノ一一
箱	相一丨一一
簿	氵一丨丶丶
箔	氵ノ丨一一
筷	忄ㄋ一丶丶
簌	束ノㄋ丶丶
籁	束ノㄋ丶丶
箍	扌一ㄋ丨丨
箨	扌ㄋ丶丨丨
筢	扌ㄋ丨ㄋㄋ
筘	扌丨ㄋ一一
筋	月ㄋノノノ
笥	丨ㄋ一一
笏	勿ノㄋノノ
笱	句ノㄋ一一
第	弓丨ノノノ
筵	丿丨一丶丶
篷	夂一一丶丶
笾	力丶ㄋ丶丶
篙	高丶一一一
简	门丨ㄋ一一
筒	冂丨ㄋ一一
箴	咸一ノ丶丶
篦	囟ノ丶ㄋㄋ
篪	丨一ㄋㄋ
筹	一丨丶丶
簏	鹿丶一ㄋㄋ
篇	户丨ㄋ丨丨
篑	贵丨ㄋ丶丶
箸	者一丨一一
箕	其ノ丶丶丶
篮	监丨ㄋ一一
簪	旡一ㄋ一一
箜	穴一丨一一
箢	宀ノㄋㄋㄋ
管	宀丨ㄋ一一
筲	肖丨丶一一
箐	青一一一一
筅	先ノ一ㄋㄋ
箪	单丶ノ丨丨
篁	白一一一一
箬	艹一ノ一一
笤	召ㄋノ一一
篆	彖ㄋㄋ丶丶
篝	冓一一一一
笪	旦丨ㄋ一一
笞	台ㄋ丶一一
箅	畀丨ㄋ丨丨
等	土一丨丶丶
筌	人一一一一
篥	覀一丨丶丶
笄	开一一丨丨
箦	丨ㄋ丶丶
箭	前丶ノ丨丨
笫	弟ノㄋノノ
笆	巴ㄋ丨ㄋㄋ
笨	木一一一一
策	朿一丨丶丶
篼	白ノㄋㄋㄋ
竺	二一一一一
竿	干一一丨丨
筻	更一丨丶丶
笈	及ノㄋ丶丶
笺	戋一一丶丶
笠	立丶一一一
笼	龙一ノ丶丶
笃	马ㄋㄋ一一
笔	毛ノ一ㄋㄋ
篓	米ㄋノ一一
算	目一ノ丨丨
笙	生ノ一一一
篾	罒一ノ丶丶
箩	罒ノㄋ丶丶
箫	肀ノ丨丶丶
筮	工ノ丶丶丶
笋	尹ㄋ一ノノ
笮	乍ノ一一一
笊	爪ノノ丶丶
簦	登ㄋ丶一一
箝	扌一丨一一
筝	争ノㄋ丨丨
纂	目一ノ丶丶
篚	匚丨一一一
籀	扌ノㄋ一一
笕	见丨ㄋㄋㄋ
篱	㐫丨ㄋ丶丶
签	佥ノ丶一一
答	合ノ丶一一
簧	丨ㄋ丶丶
笑	夭ノ一丶丶
簟	覀丨ㄋ丨丨
簋	艮丨ㄋ一一
笛	由丨ㄋ一一
竽	于一一丨丨
箓	录ㄋ一丶丶
篯	钅一一丶丶
籥	合丨ㄋ丨丨
箖	林一丨丶丶
筦	宀一一ㄋㄋ
簰	片ノ丨丨丨
筼	口丨ㄋ丶丶
簃	禾ノㄋ丶丶
簕	革ㄋノノノ
筶	告ノ一一一
筥	口丨ㄋ一一
簠	甫丨ㄋ一一
簝	尞一ノ丶丶
筜	ㄋ一一一
筀	圭一丨一一
羞	丑ㄋ丨一一
差	工一丨一一
着	目丨ㄋ一一
羌	乚ㄋㄋㄋㄋ
翔	羽ㄋ丶一一
羟	轻ㄋ丶一一
羰	山一ノノノ
羝	氏丶丶丶丶
羧	夋ㄋ丶丶丶
羯	曷丨ㄋㄋㄋ
鲝	鱼ノㄋ一一
羖	殳ノㄋ丶丶
羲	禾一ㄋ丶丶
羹	灬丶ノ丶丶
羡	次丶一丶丶
美	大一ノ丶丶
盖	皿丨ㄋ一一
姜	女ㄋノ一一
恙	心丶ㄋ丶丶
羔	灬丶丶丶丶
羑	久ノㄋ丶丶
羕	永丶ㄋ丶丶
鲞	鱼ノㄋ一一
券	刀ㄋノノノ
桊	木一丨丶丶
眷	目丨ㄋ一一
豢	豕一ノ丶丶
拳	手ノ一丨丨
卷	㔾ㄋㄋㄋㄋ
誊	言丶一一一
鹭	各ノㄋ一一
距	匚ㄋ一一一
蹴	京一ノ丶丶
跗	付ノ丨丶丶
跏	加ㄋノ一一
跌	丿一一丶丶
踟	矢丨ㄋ一一
趵	勹丶丶丶丶
跑	勹ㄋ一ㄋㄋ
踺	聿ㄋ丶丶丶
跹	千丶ㄋ丶丶
跪	厃ㄋㄋㄋㄋ
踬	一丨丶丶
踌	一丨丶丶
蹉	一丨一一
蹰	厂一丨丶丶
蹶	厂丶ノ丶丶
躔	广丨ㄋ一一
踮	广丨一一一
踱	度ㄋ丶丶丶
蹁	户丨ㄋ丨丨
踞	尸一丨一一
跷	尧一ㄋㄋㄋ
躜	先ノ一丶丶
跸	比一丨丨丨
躞	火丶一丶丶
蹄	帝丨ㄋ丨丨
蹿	穴丨ㄋ丨丨
蹲	酋一丨丶丶
跎	宀ノㄋㄋㄋ
踪	宀一一丶丶
跤	交丶一丶丶
躁	口丨ㄋ丶丶
蹯	番ノ丶一一
跣	先ノ一ㄋㄋ
踯	䒑一ノ丨丨
蹭	曾丶ノ一一
跄	仓ㄋㄋㄋㄋ
蹬	登ㄋ丶一一
踔	卓丨一丨丨
躏	艹丶丨一一
躇	艹一丨一一
躐	巛丨ㄋㄋㄋ
跨	大一一ㄋㄋ
踉	良丶ㄋ丶丶
蹑	耳ㄋ丶丶丶
跺	几一丨丶丶
跽	己丶ㄋ丶丶
踣	立丨ㄋ一一
蹂	矛一丨丶丶
跃	夭ノ一丶丶
踢	日ノㄋノノ
蹦	山ノㄋ一一
踹	山一ノ丨丨
蹀	世一丨丶丶
踏	水丨ㄋ一一
跆	台ㄋ丶一一
躅	罒ノㄋ丶丶
跬	圭一丨一一
跻	文ノ丨丨丨
蹼	业丶ノ丶丶
趼	开一一丨丨
蹋	日ㄋ丶一一
蹈	爫ノ丨一一
踩	爫一丨丶丶
蹊	爫ㄋㄋ丶丶
路	各ノㄋ一一
踊	甬ㄋ丶丨丨
蹒	艹一丨丶丶
趴	八ノ丶丶丶
跋	ㄋ丶丶丶
跚	冂丨ㄋ一一
趺	夫一一丶丶
跟	艮ㄋ一丶丶
踝	日一丨丶丶
趿	及ノㄋ丶丶
践	戋一一丶丶
跞	丨ノ丶丶
跛	皮ㄋノ丶丶
跖	石一ノ一一
踽	禹ノ丨丶丶
跳	儿丶一丶丶
趾	止丨一一一
踵	千丨ㄋ一一
蹚	一丨一一
跶	大丶ㄋ丶丶
蹐	ノ丶一一
跐	此丨一ㄋㄋ
蹅	木丨ㄋ一一
踦	大一丨丨丨
蹾	享ノ一丶丶
跂	十ㄋ丶丶丶
蹽	尞一ノ丶丶
跱	土一丨丶丶
踶	是丨ㄋ丶丶
蹜	宀ノ丨一一
踒	禾ㄋノ一一
谷	谷ノ丶一一
翁	公羽ㄋ丶一一
瓮	公瓦一ㄋ丶丶
公	公ノ丶丶丶
八	八ノ丶丶丶
父	父ノ丶丶丶
鹆	谷鸟ノㄋ一一
欲	谷欠ノㄋ丶丶
颂	公页一ノ丶丶
兮	八丂一ㄋㄋㄋ
釜	父干丶ノ一一
爹	父夕ノㄋ丶丶
爸	父巴ㄋ丨ㄋㄋ
爷	父卩ㄋ丨丨丨
斧	父斤ノノ丨丨
郤	谷阝ㄋ丨丨丨
鹟	公羽ノㄋ一一
谼	谷共一丨丶丶
遂	㒸辶丶ㄋ丶丶
递	弟辶丶ㄋ丶丶
单	单丶ノ丨丨
兑	总儿ノㄋㄋㄋ
曾	曾丶ノ一一
总	总心丶ㄋ丶丶
兽	丷田一丨一一
半	半丶ノ丨丨
弟	弟丶ノノノ
丫	丷丨丨丨丨丨
冁	单尸一丨丶丶
郸	单阝ㄋ丨丨丨
甑	曾瓦一ㄋ丶丶
猷	酋犬一ノ丶丶
叛	半ㄋ丶丶丶
判	半刂丨丨丨丨
鹈	弟鸟ノㄋ一一
剃	弟刂丨丨丨丨
遵	酋寸丶ㄋ丶丶
遒	酋辶丶ㄋ丶丶
尊	酋寸一丨丶丶
奠	酋大一ノ丶丶
酋	酋丶ノ一一
鄫	曾阝ㄋ丨丨丨
䎖	曾羽ㄋ丶一一
巴	巴ㄋ丨ㄋㄋ
遑	白王丶ㄋ丶丶
迫	白辶丶ㄋ丶丶
卑	卑ノ丨丨丨
皋	白大一丨丨丨
帛	白巾丨ㄋ丨丨
皂	白七一ㄋㄋㄋ
泉	白水丨ㄋ丶丶
皇	白王一一一一
白	白ノ丨一一
兜	白𦥑ノㄋㄋㄋ
鹎	卑鸟ノㄋ一一
郫	卑阝ㄋ丨丨丨
翱	白大一丨一一
敫	白方ノ一丶丶
的	白勹丶丶丶丶
皈	白ㄋ丶丶丶
皖	白宀一一ㄋㄋ
皎	白交丶一丶丶
皤	白番ノ丶一一
皓	白告ノ一一一
皑	白山ㄋ一ㄋㄋ
魄	白鬼ノ丨丶丶
邀	白方ノ一丶丶
邬	乌阝一ㄋ丨丨
匐	勹同丨ㄋ一一
勿	勿ノㄋノノ
勺	勹丶丶丶丶丶
匍	勹甫一丨丶丶
句	句ノㄋ一一
匀	勹冫丶一一一
旬	勹日丨ㄋ一一
勾	勹厶ㄋ丶丶丶
包	勹巳ㄋ一ㄋㄋ
甸	勹田丨ㄋ一一
訇	勹言丶一一一
忽	勿心丶ㄋ丶丶
乌	乌一一一一
匆	勿丶丶丶丶丶
刎	勿刂丨丨丨丨
鸲	句鸟ノㄋ一一
够	句夕ノㄋ丶丶
劬	句力ㄋノノノ
郇	勹隹ㄋ丨丨丨
刨	勹巳丨丨丨丨
匈	勹乂ㄋ丨丨丨
雊	句隹ノ丨一一
逭	宀㠯丶ㄋ丶丶
赛	寒贝丨ㄋ丶丶
褰	寒衣丶一丶丶
蹇	寒足丨ㄋ丶丶
寒	寒⺀丶丶丶丶
骞	寒马ㄋㄋ一一
寨	寒朩一丨丶丶
搴	寒手ノ一丨丨
塞	寒土一丨一一
謇	寒言丶一一一
蜜	宀必丨ㄋ丶丶
密	宀必丨ㄋ丨丨
案	宀女一丨丶丶
寡	宀丆丨ㄋノノ
寂	宀上丨ノ丶丶
宿	宀亻一ノ一一
寐	宀爿一一丶丶
宛	宀夗ノㄋㄋㄋ
寝	宀丬ㄋ一丶丶
寇	宀元丨一丶丶
宏	宀ㄋ丶丶丶
宸	宀辰一ノ丶丶
室	宀至一ㄋ一一
察	宀祭ノㄋ丶丶
寥	宀羽ノ丶ノノ
寮	宀尞一ノ丶丶
宵	宀肖丨丶一一
宪	宀先ノ一ㄋㄋ
寞	宀莫一丨丶丶
宫	宀口丨ㄋ一一
宾	宀丘ノ丶丶丶
寰	宀罒丨ㄋ丶丶
宣	㝉旦丨ㄋ一一
富	宀同丨ㄋ一一
完	宀元一一ㄋㄋ
宴	宀日ㄋノ一一
宥	宀丨ㄋ一一
客	宀各ノㄋ一一
定	定丶丶丶丶
它	宀匕ノㄋㄋㄋ
宓	宀必丶ㄋ丶丶
宦	宀臣一丨ㄋㄋ
守	宀寸一丨丶丶
害	宀丰丨ㄋ一一
灾	宀火丶ノ丶丶
宄	宀九ノㄋㄋㄋ
宠	宀龙一ノ丶丶
宋	宀木一丨丶丶
牢	宀牛ノ一丨丨
安	宀女ㄋノ一一
宜	宀且丨ㄋ一一
审	宀日丨丨丨丨
宕	宀石一ノ一一
家	宀豕一ノ丶丶
宗	宀示一一丶丶
实	宀⺀一ノ丶丶
宅	宀乇ノ一ㄋㄋ
宝	宀王丶丶丶丶
官	宀㠯丨ㄋ一一
字	宀子ㄋ丨一一
剜	宀夗丨丨丨丨
额	宀各一ノ丶丶
豁	宀丰丨ㄋ一一
割	宀丰丨ㄋ丨丨
寤	宀爿一丨一一
寄	宀大一丨丨丨
宰	宀辛丶一丨丨
寅	㝉由ノ丶丶丶
宽	宀艹丨ㄋㄋㄋ
宁	宀丁一丨丨丨
甯	宀心丨ㄋ一一
宙	宀由丨ㄋ一一
宇	宀于一一丨丨
寓	宀禺丨ㄋ丶丶
宧	宀一丨一一
贝	贝丨ㄋ丶丶
罂	贝贝ノ一丨丨
婴	贝贝ㄋノ一一
赋	贝一一ㄋ一一
购	贝勹ㄋ丶丶丶
贼	贝戈一ノノノ
赆	贝尺丶丶丶丶
赡	贝厃ノ丶一一
赈	贝辰一ノ丶丶
赃	贝广一丨一一
贩	贝ㄋ丶丶丶
赌	贝者一丨一一
贮	贝㝉丶丶一一
赅	贝亥丶一丶丶
赠	贝曾丶ノ一一
贴	贝占丨一一一
赙	贝甫一丨丶丶
赕	贝炎丶ノ丶丶
贶	贝口ノㄋㄋㄋ
赔	贝立丨ㄋ一一
贬	贝丿丶ㄋ丶丶
赐	贝日ノㄋノノ
赎	贝十ㄋ丶丶丶
赊	贝人一一丶丶
贻	贝台ㄋ丶一一
贿	贝丨ㄋ一一
赂	贝各ノㄋ一一
赚	贝兼丶ノ丶丶
财	贝才一丨ノノ
则	贝刂丨丨丨丨
败	贝攵ノ一丶丶
贱	贝戋一一丶丶
赇	贝求一丨丶丶
账	贝长ノ一丶丶
鹦	贝贝ㄋノ一一
赒	贝冂一丨一一
赗	贝日丨ㄋ一一
赑	贝贝丨ㄋ丶丶
旨	旨ノㄋ一一
匕	匕ノㄋㄋㄋ
颖	匕禾一ノ丶丶
鸨	匕十ノㄋ一一
疑	疑ノㄋ丶丶
肄	匕矢ㄋ一丨丨
颍	匕水一ノ丶丶
颎	匕火一ノ丶丶
毙	比歹ノㄋㄋㄋ
皆	比白ノ丨一一
毖	比必丶ㄋ丶丶
毕	比十一丨丨丨
比	比一ㄋㄋㄋ
鳖	敝鱼ノㄋ一一
蹩	敝足丨ㄋ丶丶
弊	敝廾一ノ丨丨
瞥	敝目丨ㄋ一一
憋	敝心丶ㄋ丶丶
敝	敝丶ノ丶丶
瘸	疒加丨ㄋ丶丶
疖	疒卩ㄋ丨丨丨
癣	疒鱼丶ノ丨丨
癜	疒尸一丨丶丶
癫	疒直ノ丶丶丶
瘊	疒亻ノ丨丶丶
瘀	疒方ノ丶丶丶
痢	疒禾丨丨丨丨
痂	疒加ㄋノ一一
痧	疒氵丨ノノノ
痴	疒矢丨ㄋ一一
癞	疒束ノㄋ丶丶
瘌	疒束丨丨丨丨
癍	疒王丶一一一
瘫	疒又ノ丨一一
疵	疒此丨一ㄋㄋ
瘢	疒舟ノㄋ丶丶
瘾	疒阝ノㄋ丶丶
癃	疒阝ノㄋ一一
疡	疒汤ㄋノノノ
疱	疒勹ㄋ一ㄋㄋ
痫	疒门一丨丶丶
疯	疒风ノㄋ丶丶
瘥	疒一丨一一
疬	疒厂ㄋノノノ
瘠	疒ノ丶一一
瘿	疒贝丨ㄋ一一
瘵	疒祭ノㄋ丶丶
瘛	疒丰ㄋノ丶丶
癯	疒目丨ㄋ一一
瘳	疒羽ノ丶ノノ
瘙	疒又丶丨丶丶
痃	疒玄丶一丶丶
癔	疒音丶ㄋ丶丶
痉	疒轻ㄋ丶一一
疥	疒人ノ丨丨丨
疙	疒ㄋㄋㄋㄋ
痪	疒丨ㄋ丶丶
瘅	疒单丶ノ丨丨
瘼	疒莫一丨丶丶
痨	疒劳ㄋノノノ
疰	疒主丶一一一
痿	疒禾ㄋノ一一
痰	疒炎丶ノ丶丶
疫	疒殳ノㄋ丶丶
瘗	疒夹ノ丶一一
瘘	疒米ㄋノ一一
疸	疒旦丨ㄋ一一
疹	疒㐱ノ丶ノノ
瘁	疒卒丶一丨丨
痣	疒士丶ㄋ丶丶
痹	疒畀丨ㄋ丨丨
痔	疒土一丨丶丶
痊	疒人一一一一
瘭	疒覀一一丶丶
疮	疒仓ノ丶ㄋㄋ
症	疒正一丨一一
瘦	疒臼丨ㄋ丶丶
瘟	疒日丨ㄋ一一
疼	疒夂丶丶丶丶
瘪	疒自ノ丶ㄋㄋ
痛	疒甬ㄋ丶丨丨
疟	疒一ㄋ一一
疤	疒巴ㄋ丨ㄋㄋ
瘃	疒豕丶丶丶丶
痘	疒豆一丨一一
瘕	疒叚ㄋ一丶丶
疚	疒久ノㄋ丶丶
疗	疒了ㄋ丨丨丨
疲	疒皮ㄋノ丶丶
疽	疒且丨ㄋ一一
疝	疒山丨ㄋ丨丨
疾	疒矢ノ一丶丶
疠	疒万一ㄋノノ
痒	疒羊丶ノ丨丨
痍	疒大ㄋ一ㄋㄋ
痈	疒用ノㄋ丨丨
疣	疒尢丶丶丶丶
瘐	疒臼ノ丶丶丶
痄	疒乍ノ一一一
痤	疒从一丨一一
痖	疒亚一丨一一
癖	疒辟ㄋ一丨丨
疴	疒可一丨丨丨
痼	疒囗一丨一一
瘤	疒留丨ㄋ一一
癌	疒口丨ㄋ丨丨
痞	疒不丨ㄋ一一
瘩	疒艹ノ丶一一
瘴	疒音一丨丨丨
癀	疒丨ㄋ丶丶
瘰	疒田ㄋㄋ丶丶
痦	疒五丨ㄋ一一
病	疒丙ノ丶丶丶
疔	疒丁一丨丨丨
痱	疒非丨一一一
痕	疒艮ㄋ一丶丶
痓	疒至一ㄋ一一
瘆	疒叁ノノノノ
凳	登几ノㄋㄋㄋ
癸	癸ㄋ丶丶丶
登	登ㄋ丶一一
戣	癸戈一ㄋ丶丶
卜	卜丨丶丶丶
邳	不一ㄋ丨丨丨
还	不辶丶ㄋ丶丶
孬	不女ㄋ丨一一
歪	不正一丨一一
否	不口丨ㄋ一一
丕	不一一一一一
